n_trades,mean_ret_pct,win_rate,t_stat,p_value,sharpe,cagr_pct,max_dd_pct,n_stocks,sub_periods,id,family,rules,hold
1013,-0.1521,47.98,-2.068,0.019454641040673046,-0.344,-5.22,-54.56,130,"{'2014-2017': -0.447, '2018-2021': -0.136, '2022-2024': -0.571}",H0036,A_single,"[('bb_z_20', '<', -3.0)]",1
987,-0.2582,51.37,-2.542,0.005582747464540815,-0.287,-5.99,-68.7,130,"{'2014-2017': 0.566, '2018-2021': -0.625, '2022-2024': -0.745}",H0037,A_single,"[('bb_z_20', '<', -3.0)]",2
983,-0.0336,51.58,-0.291,0.3856945167730394,-0.164,-5.11,-74.96,130,"{'2014-2017': 0.733, '2018-2021': -0.443, '2022-2024': -0.653}",H0038,A_single,"[('bb_z_20', '<', -3.0)]",3
3956,0.046,49.92,1.192,0.11669200700337587,-0.784,-15.46,-86.17,130,"{'2014-2017': -1.134, '2018-2021': -0.533, '2022-2024': -0.854}",H0039,A_single,"[('bb_z_20', '<', -2.5)]",1
3595,-0.0152,51.91,-0.284,0.388338920621048,-0.607,-16.48,-90.41,130,"{'2014-2017': -0.53, '2018-2021': -0.902, '2022-2024': -0.533}",H0040,A_single,"[('bb_z_20', '<', -2.5)]",2
3433,0.0177,52.4,0.27,0.39346009988432085,-0.25,-10.87,-88.89,130,"{'2014-2017': -0.08, '2018-2021': -0.533, '2022-2024': -0.254}",H0041,A_single,"[('bb_z_20', '<', -2.5)]",3
11670,0.047,50.81,1.983,0.023701169766707945,-0.704,-16.78,-89.19,130,"{'2014-2017': -0.539, '2018-2021': -0.817, '2022-2024': -0.783}",H0042,A_single,"[('bb_z_20', '<', -2.0)]",1
9679,-0.0475,51.9,-1.486,0.06859297379866057,-0.538,-17.78,-93.66,130,"{'2014-2017': -0.588, '2018-2021': -0.618, '2022-2024': -0.486}",H0043,A_single,"[('bb_z_20', '<', -2.0)]",2
8561,-0.0247,52.25,-0.581,0.2804684311753156,-0.069,-8.0,-84.85,130,"{'2014-2017': 0.29, '2018-2021': -0.444, '2022-2024': -0.11}",H0044,A_single,"[('bb_z_20', '<', -2.0)]",3
25530,-0.0415,50.65,-2.791,0.002627448914510349,-0.362,-10.17,-81.54,130,"{'2014-2017': -0.441, '2018-2021': -0.279, '2022-2024': -0.559}",H0045,A_single,"[('bb_z_20', '<', -1.5)]",1
19747,-0.0001,51.66,-0.006,0.49774314195478586,0.064,-2.95,-84.76,130,"{'2014-2017': -0.415, '2018-2021': 0.251, '2022-2024': 0.093}",H0046,A_single,"[('bb_z_20', '<', -1.5)]",2
16630,0.0227,52.3,0.756,0.2249484764413282,0.511,13.35,-89.2,130,"{'2014-2017': 0.513, '2018-2021': 0.439, '2022-2024': 0.445}",H0047,A_single,"[('bb_z_20', '<', -1.5)]",3
1873,0.1388,50.93,1.493,0.06784050131133638,-0.192,-7.43,-72.67,69,"{'2014-2017': -0.122, '2018-2021': 0.284, '2022-2024': -0.959}",H0048,A_single,"[('sma_dev_atr', '<', -2.0)]",1
1439,0.2416,51.84,1.826,0.03405729292446783,0.236,2.37,-65.87,69,"{'2014-2017': 0.419, '2018-2021': 0.395, '2022-2024': -0.146}",H0049,A_single,"[('sma_dev_atr', '<', -2.0)]",2
1183,0.2594,52.58,1.456,0.07277319303592304,0.395,8.13,-70.77,69,"{'2014-2017': 0.483, '2018-2021': 0.563, '2022-2024': -0.049}",H0050,A_single,"[('sma_dev_atr', '<', -2.0)]",3
3423,0.1432,51.91,2.327,0.009999655988064312,0.123,-0.13,-52.17,93,"{'2014-2017': 0.136, '2018-2021': 0.406, '2022-2024': -0.481}",H0051,A_single,"[('sma_dev_atr', '<', -1.5)]",1
2558,0.2125,52.7,2.352,0.009369070332455636,0.181,0.17,-68.16,93,"{'2014-2017': -0.157, '2018-2021': 0.813, '2022-2024': -0.596}",H0052,A_single,"[('sma_dev_atr', '<', -1.5)]",2
2109,0.2845,53.3,2.296,0.010900299395801722,0.581,16.11,-70.09,93,"{'2014-2017': 0.586, '2018-2021': 0.895, '2022-2024': -0.038}",H0053,A_single,"[('sma_dev_atr', '<', -1.5)]",3
6225,0.0527,51.08,1.169,0.12115915336320258,0.033,-3.85,-78.1,115,"{'2014-2017': 0.469, '2018-2021': 0.012, '2022-2024': -0.87}",H0054,A_single,"[('sma_dev_atr', '<', -1.0)]",1
4584,0.0943,51.85,1.503,0.06647732065320139,0.033,-5.45,-76.48,115,"{'2014-2017': -0.461, '2018-2021': 0.719, '2022-2024': -0.422}",H0055,A_single,"[('sma_dev_atr', '<', -1.0)]",2
3745,0.1919,51.86,2.142,0.01613323280233712,0.316,4.03,-84.26,115,"{'2014-2017': 0.342, '2018-2021': 0.433, '2022-2024': -0.104}",H0056,A_single,"[('sma_dev_atr', '<', -1.0)]",3
8917,-0.0199,50.31,-0.55,0.2911594932288864,-0.036,-5.89,-70.88,120,"{'2014-2017': 0.138, '2018-2021': 0.228, '2022-2024': -0.921}",H0057,A_single,"[('sma_dev_atr', '<', -0.75)]",1
6545,0.0926,52.18,1.897,0.028958288776990256,0.39,7.98,-69.76,120,"{'2014-2017': 0.249, '2018-2021': 0.637, '2022-2024': 0.192}",H0058,A_single,"[('sma_dev_atr', '<', -0.75)]",2
